l1d cache size,l1i cache size,l2 cache size,unrolling factor,number of cycles,L1I_KB,L1D_KB,L2_KB,totalMemoryKB,latencyCC
2kB,2kB,128kB,2,60074572,2,2,128,132,60074572
4kB,2kB,128kB,2,59973831,2,4,128,134,59973831
8kB,2kB,128kB,2,59874187,2,8,128,138,59874187
16kB,2kB,128kB,2,42968165,2,16,128,146,42968165
32kB,2kB,128kB,2,42608317,2,32,128,162,42608317
4kB,4kB,128kB,2,59923558,4,4,128,136,59923558
8kB,4kB,128kB,2,59831089,4,8,128,140,59831089
16kB,4kB,128kB,2,42926516,4,16,128,148,42926516
32kB,4kB,128kB,2,42553573,4,32,128,164,42553573
8kB,8kB,128kB,2,59815325,8,8,128,144,59815325
16kB,8kB,128kB,2,42920966,8,16,128,152,42920966
16kB,16kB,128kB,2,42903590,16,16,128,160,42903590
32kB,16kB,128kB,2,42536762,16,32,128,176,42536762
32kB,16kB,256kB,2,42519706,16,32,256,304,42519706
32kB,16kB,512kB,2,42510498,16,32,512,560,42510498
64kB,16kB,256kB,2,42517742,16,64,256,336,42517742
32kB,32kB,128kB,2,42532791,32,32,128,192,42532791
32kB,32kB,512kB,2,42497930,32,32,512,576,42497930
32kB,64kB,128kB,2,42530041,64,32,128,224,42530041
64kB,64kB,512kB,2,42492520,64,64,512,640,42492520
