l1d cache size,l1i cache size,l2 cache size,unrolling factor,number of cycles,L1I_KB,L1D_KB,L2_KB,totalMemoryKB,latencyCC
2kB,2kB,128kB,8,59724828,2,2,128,132,59724828
4kB,2kB,128kB,8,59623577,2,4,128,134,59623577
8kB,2kB,128kB,8,59528734,2,8,128,138,59528734
16kB,2kB,128kB,8,42591707,2,16,128,146,42591707
32kB,2kB,128kB,8,42301347,2,32,128,162,42301347
4kB,4kB,128kB,8,59567374,4,4,128,136,59567374
8kB,4kB,128kB,8,59481239,4,8,128,140,59481239
16kB,4kB,128kB,8,42546499,4,16,128,148,42546499
32kB,4kB,128kB,8,42246795,4,32,128,164,42246795
8kB,8kB,128kB,8,59465548,8,8,128,144,59465548
16kB,8kB,128kB,8,42544584,8,16,128,152,42544584
32kB,8kB,128kB,8,42205648,8,32,128,168,42205648
16kB,16kB,128kB,8,42525130,16,16,128,160,42525130
32kB,16kB,128kB,8,42180765,16,32,128,176,42180765
32kB,16kB,256kB,8,42164260,16,32,256,304,42164260
32kB,32kB,128kB,8,42180240,32,32,128,192,42180240
32kB,32kB,512kB,8,42140399,32,32,512,576,42140399
32kB,64kB,128kB,8,42175717,64,32,128,224,42175717
32kB,64kB,256kB,8,42162957,64,32,256,352,42162957
64kB,64kB,512kB,8,42134251,64,64,512,640,42134251
