l1d cache size,l1i cache size,l2 cache size,unrolling factor,number of cycles,L1I_KB,L1D_KB,L2_KB,totalMemoryKB,latencyCC
2kB,2kB,128kB,16,64568544,2,2,128,132,64568544
16kB,2kB,128kB,16,47531800,2,16,128,146,47531800
2kB,4kB,128kB,16,59579732,4,2,128,134,59579732
4kB,4kB,128kB,16,59484646,4,4,128,136,59484646
8kB,4kB,128kB,16,59386648,4,8,128,140,59386648
16kB,4kB,128kB,16,42472280,4,16,128,148,42472280
32kB,4kB,128kB,16,42146735,4,32,128,164,42146735
8kB,8kB,128kB,16,59377532,8,8,128,144,59377532
16kB,8kB,128kB,16,42469248,8,16,128,152,42469248
16kB,16kB,128kB,16,42452179,16,16,128,160,42452179
32kB,16kB,128kB,16,42130415,16,32,128,176,42130415
32kB,16kB,256kB,16,42114180,16,32,256,304,42114180
32kB,16kB,512kB,16,42105847,16,32,512,560,42105847
64kB,16kB,256kB,16,42113910,16,64,256,336,42113910
32kB,32kB,128kB,16,42126970,32,32,128,192,42126970
32kB,32kB,512kB,16,42094472,32,32,512,576,42094472
64kB,64kB,512kB,16,42087302,64,64,512,640,42087302
