L1D_cache_size,L1I_cache_size,L2_cache_size,unrolling_factor,number of cycles,L1I_KB,L1D_KB,L2_KB,total_Memory_KB,exec_time_cc
64kB,2kB,128kB,4,42557795,2,64,128,194,42557795
64kB,2kB,128kB,8,42405270,2,64,128,194,42405270
64kB,2kB,128kB,16,47326041,2,64,128,194,47326041
64kB,2kB,128kB,32,48695575,2,64,128,194,48695575
64kB,2kB,256kB,2,42588066,2,64,256,322,42588066
64kB,2kB,256kB,4,42362950,2,64,256,322,42362950
64kB,2kB,256kB,8,42231717,2,64,256,322,42231717
64kB,2kB,256kB,16,47164074,2,64,256,322,47164074
64kB,2kB,256kB,32,48454562,2,64,256,322,48454562
64kB,2kB,512kB,2,42573572,2,64,512,578,42573572
64kB,2kB,512kB,4,42347391,2,64,512,578,42347391
64kB,2kB,512kB,8,42254645,2,64,512,578,42254645
64kB,2kB,512kB,16,47147096,2,64,512,578,47147096
64kB,2kB,512kB,32,48446022,2,64,512,578,48446022
64kB,2kB,1024kB,2,42584958,2,64,1024,1090,42584958
64kB,2kB,1024kB,4,42370989,2,64,1024,1090,42370989
64kB,2kB,1024kB,8,42223497,2,64,1024,1090,42223497
64kB,2kB,1024kB,16,47150571,2,64,1024,1090,47150571
64kB,2kB,1024kB,32,48464481,2,64,1024,1090,48464481
2kB,4kB,128kB,2,60025308,4,2,128,134,60025308
2kB,4kB,128kB,4,59832519,4,2,128,134,59832519
2kB,4kB,128kB,8,59669045,4,2,128,134,59669045
2kB,4kB,128kB,16,59579732,4,2,128,134,59579732
2kB,4kB,128kB,32,64134097,4,2,128,134,64134097
2kB,4kB,256kB,2,60016993,4,2,256,262,60016993
2kB,4kB,256kB,4,59813703,4,2,256,262,59813703
2kB,4kB,256kB,8,59667943,4,2,256,262,59667943
2kB,4kB,256kB,16,59575580,4,2,256,262,59575580
2kB,4kB,256kB,32,64124445,4,2,256,262,64124445
2kB,4kB,512kB,2,59990246,4,2,512,518,59990246
2kB,4kB,512kB,4,59792753,4,2,512,518,59792753
2kB,4kB,512kB,8,59641288,4,2,512,518,59641288
2kB,4kB,512kB,16,59561213,4,2,512,518,59561213
2kB,4kB,512kB,32,64106888,4,2,512,518,64106888
2kB,4kB,1024kB,2,60001420,4,2,1024,1030,60001420
2kB,4kB,1024kB,4,59812161,4,2,1024,1030,59812161
2kB,4kB,1024kB,8,59671046,4,2,1024,1030,59671046
2kB,4kB,1024kB,16,59592975,4,2,1024,1030,59592975
2kB,4kB,1024kB,32,64126505,4,2,1024,1030,64126505
4kB,4kB,128kB,2,59923558,4,4,128,136,59923558
4kB,4kB,128kB,4,59730752,4,4,128,136,59730752
4kB,4kB,128kB,8,59567374,4,4,128,136,59567374
4kB,4kB,128kB,16,59484646,4,4,128,136,59484646
4kB,4kB,128kB,32,63990645,4,4,128,136,63990645
4kB,4kB,256kB,2,59902575,4,4,256,264,59902575
4kB,4kB,256kB,4,59716224,4,4,256,264,59716224
4kB,4kB,256kB,8,59548882,4,4,256,264,59548882
4kB,4kB,256kB,16,59462725,4,4,256,264,59462725
4kB,4kB,256kB,32,63981870,4,4,256,264,63981870
4kB,4kB,512kB,2,59874572,4,4,512,520,59874572
4kB,4kB,512kB,4,59680918,4,4,512,520,59680918
4kB,4kB,512kB,8,59535848,4,4,512,520,59535848
4kB,4kB,512kB,16,59448497,4,4,512,520,59448497
4kB,4kB,512kB,32,63973169,4,4,512,520,63973169
4kB,4kB,1024kB,2,59857358,4,4,1024,1032,59857358
4kB,4kB,1024kB,4,59671545,4,4,1024,1032,59671545
4kB,4kB,1024kB,8,59536621,4,4,1024,1032,59536621
4kB,4kB,1024kB,16,59455710,4,4,1024,1032,59455710
4kB,4kB,1024kB,32,63998786,4,4,1024,1032,63998786
8kB,4kB,128kB,2,59831089,4,8,128,140,59831089
8kB,4kB,128kB,4,59638034,4,8,128,140,59638034
8kB,4kB,128kB,8,59481239,4,8,128,140,59481239
8kB,4kB,128kB,16,59386648,4,8,128,140,59386648
8kB,4kB,128kB,32,63967288,4,8,128,140,63967288
8kB,4kB,256kB,2,59807730,4,8,256,268,59807730
8kB,4kB,256kB,4,59606986,4,8,256,268,59606986
8kB,4kB,256kB,8,59461767,4,8,256,268,59461767
8kB,4kB,256kB,16,59369190,4,8,256,268,59369190
8kB,4kB,256kB,32,63940660,4,8,256,268,63940660
8kB,4kB,512kB,2,59782567,4,8,512,524,59782567
8kB,4kB,512kB,4,59589715,4,8,512,524,59589715
8kB,4kB,512kB,8,59437927,4,8,512,524,59437927
8kB,4kB,512kB,16,59356431,4,8,512,524,59356431
8kB,4kB,512kB,32,63944654,4,8,512,524,63944654
8kB,4kB,1024kB,2,59792157,4,8,1024,1036,59792157
8kB,4kB,1024kB,4,59609414,4,8,1024,1036,59609414
8kB,4kB,1024kB,8,59466444,4,8,1024,1036,59466444
